"invoice_id","branch","city","customer_type","gender","product_line","unit_price","quantity","tax5","total","date","time","payment","cogs","gross_margin_percentage","gross_income","rating","time_of_day","day_of_week","month_name"
"583-72-1480","C","Naypyitaw","Member","Male","Electronic accessories","37.06",4,"7.41","155.65","2019-01-31","16:24:00","Ewallet","148.24","4.76","7.41","9.7","Evening","Thursday ","January  "
"729-09-9681","A","Yangon","Member","Male","Home and lifestyle","25.91",6,"7.77","163.23","2019-02-05","10:16:00","Ewallet","155.46","4.76","7.77","8.7","Morning","Tuesday  ","February "
"667-92-0055","A","Yangon","Member","Male","Health and beauty","99.83",6,"29.95","628.93","2019-03-04","15:02:00","Ewallet","598.98","4.76","29.95","8.5","Afternoon","Monday   ","March    "
"181-94-6432","C","Naypyitaw","Member","Male","Fashion accessories","69.33",2,"6.93","145.59","2019-02-05","19:05:00","Ewallet","138.66","4.76","6.93","9.7","Evening","Tuesday  ","February "
"787-15-1757","C","Naypyitaw","Member","Male","Health and beauty","44.07",4,"8.81","185.09","2019-02-18","16:28:00","Ewallet","176.28","4.76","8.81","8.4","Evening","Monday   ","February "
"372-94-8041","A","Yangon","Normal","Male","Health and beauty","15.26",6,"4.58","96.14","2019-02-15","18:03:00","Ewallet","91.56","4.76","4.58","9.8","Evening","Friday   ","February "
"835-16-0096","C","Naypyitaw","Member","Male","Sports and travel","14.70",5,"3.68","77.18","2019-03-24","13:48:00","Ewallet","73.50","4.76","3.68","8.5","Afternoon","Sunday   ","March    "
"433-75-6987","B","Mandalay","Member","Female","Health and beauty","55.97",7,"19.59","411.38","2019-03-05","19:06:00","Ewallet","391.79","4.76","19.59","8.9","Evening","Tuesday  ","March    "
"416-13-5917","C","Naypyitaw","Normal","Female","Food and beverages","97.03",5,"24.26","509.41","2019-01-30","16:24:00","Ewallet","485.15","4.76","24.26","9.3","Evening","Wednesday","January  "
"743-88-1662","C","Naypyitaw","Normal","Male","Sports and travel","95.49",7,"33.42","701.85","2019-02-22","18:17:00","Ewallet","668.43","4.76","33.42","8.7","Evening","Friday   ","February "
"595-86-2894","C","Naypyitaw","Member","Male","Fashion accessories","96.98",4,"19.40","407.32","2019-02-06","17:20:00","Ewallet","387.92","4.76","19.40","9.4","Evening","Wednesday","February "
"662-72-2873","A","Yangon","Normal","Female","Food and beverages","40.94",5,"10.24","214.94","2019-01-06","13:58:00","Ewallet","204.70","4.76","10.24","9.9","Afternoon","Sunday   ","January  "
"394-41-0748","C","Naypyitaw","Member","Female","Fashion accessories","54.07",9,"24.33","510.96","2019-01-27","14:55:00","Ewallet","486.63","4.76","24.33","9.5","Afternoon","Sunday   ","January  "
"236-86-3015","C","Naypyitaw","Member","Male","Home and lifestyle","13.98",1,"0.70","14.68","2019-02-04","13:38:00","Ewallet","13.98","4.76","0.70","9.8","Afternoon","Monday   ","February "
"831-64-0259","B","Mandalay","Normal","Female","Fashion accessories","39.75",5,"9.94","208.69","2019-02-22","10:43:00","Ewallet","198.75","4.76","9.94","9.6","Morning","Friday   ","February "
"472-15-9636","A","Yangon","Normal","Male","Home and lifestyle","50.93",8,"20.37","427.81","2019-03-22","19:36:00","Ewallet","407.44","4.76","20.37","9.2","Evening","Friday   ","March    "
"186-09-3669","C","Naypyitaw","Member","Female","Health and beauty","81.51",1,"4.08","85.59","2019-01-22","10:57:00","Ewallet","81.51","4.76","4.08","9.2","Morning","Tuesday  ","January  "
"848-07-1692","B","Mandalay","Normal","Female","Health and beauty","57.22",2,"5.72","120.16","2019-01-12","17:13:00","Ewallet","114.44","4.76","5.72","8.3","Evening","Saturday ","January  "
"751-69-0068","C","Naypyitaw","Normal","Male","Sports and travel","99.24",9,"44.66","937.82","2019-03-19","19:09:00","Ewallet","893.16","4.76","44.66","9.0","Evening","Tuesday  ","March    "
"257-73-1380","C","Naypyitaw","Member","Male","Sports and travel","82.93",4,"16.59","348.31","2019-01-20","16:51:00","Ewallet","331.72","4.76","16.59","9.6","Evening","Sunday   ","January  "
"192-98-7397","C","Naypyitaw","Normal","Male","Fashion accessories","12.78",1,"0.64","13.42","2019-01-08","14:11:00","Ewallet","12.78","4.76","0.64","9.5","Afternoon","Tuesday  ","January  "
"795-49-7276","A","Yangon","Normal","Male","Fashion accessories","37.15",4,"7.43","156.03","2019-03-23","18:59:00","Ewallet","148.60","4.76","7.43","8.3","Evening","Saturday ","March    "
"627-95-3243","B","Mandalay","Member","Female","Home and lifestyle","77.68",9,"34.96","734.08","2019-02-04","13:21:00","Ewallet","699.12","4.76","34.96","9.8","Afternoon","Monday   ","February "
"686-41-0932","B","Mandalay","Normal","Female","Fashion accessories","34.70",2,"3.47","72.87","2019-03-13","19:48:00","Ewallet","69.40","4.76","3.47","8.2","Evening","Wednesday","March    "
"608-04-3797","B","Mandalay","Member","Female","Health and beauty","25.32",8,"10.13","212.69","2019-03-05","20:24:00","Ewallet","202.56","4.76","10.13","8.7","Evening","Tuesday  ","March    "
"573-98-8548","C","Naypyitaw","Member","Female","Fashion accessories","31.90",1,"1.60","33.50","2019-01-05","12:40:00","Ewallet","31.90","4.76","1.60","9.1","Afternoon","Saturday ","January  "
"620-02-2046","C","Naypyitaw","Normal","Male","Home and lifestyle","69.40",2,"6.94","145.74","2019-01-27","19:48:00","Ewallet","138.80","4.76","6.94","9.0","Evening","Sunday   ","January  "
"726-29-6793","A","Yangon","Member","Male","Electronic accessories","24.18",8,"9.67","203.11","2019-01-28","20:54:00","Ewallet","193.44","4.76","9.67","9.8","Evening","Monday   ","January  "
"595-27-4851","A","Yangon","Normal","Female","Fashion accessories","54.28",7,"19.00","398.96","2019-01-27","18:05:00","Ewallet","379.96","4.76","19.00","9.3","Evening","Sunday   ","January  "
"413-20-6708","C","Naypyitaw","Member","Female","Fashion accessories","51.47",1,"2.57","54.04","2019-03-18","15:52:00","Ewallet","51.47","4.76","2.57","8.5","Afternoon","Monday   ","March    "
"425-85-2085","B","Mandalay","Member","Male","Health and beauty","54.86",5,"13.72","288.02","2019-03-29","16:48:00","Ewallet","274.30","4.76","13.72","9.8","Evening","Friday   ","March    "
"220-28-1851","A","Yangon","Normal","Male","Home and lifestyle","34.73",2,"3.47","72.93","2019-03-01","18:14:00","Ewallet","69.46","4.76","3.47","9.7","Evening","Friday   ","March    "
"857-67-9057","B","Mandalay","Normal","Male","Electronic accessories","22.95",10,"11.48","240.98","2019-02-06","19:20:00","Ewallet","229.50","4.76","11.48","8.2","Evening","Wednesday","February "
"236-27-1144","C","Naypyitaw","Normal","Female","Food and beverages","16.31",9,"7.34","154.13","2019-03-26","10:31:00","Ewallet","146.79","4.76","7.34","8.4","Morning","Tuesday  ","March    "
"460-35-4390","A","Yangon","Normal","Male","Home and lifestyle","30.68",3,"4.60","96.64","2019-01-22","11:00:00","Ewallet","92.04","4.76","4.60","9.1","Morning","Tuesday  ","January  "
"647-50-1224","A","Yangon","Normal","Female","Fashion accessories","29.42",10,"14.71","308.91","2019-01-12","16:23:00","Ewallet","294.20","4.76","14.71","8.9","Evening","Saturday ","January  "
"218-59-9410","A","Yangon","Member","Female","Home and lifestyle","72.42",3,"10.86","228.12","2019-03-29","16:54:00","Ewallet","217.26","4.76","10.86","8.2","Evening","Friday   ","March    "
"239-48-4278","A","Yangon","Member","Male","Food and beverages","10.13",7,"3.55","74.46","2019-03-10","19:35:00","Ewallet","70.91","4.76","3.55","8.3","Evening","Sunday   ","March    "
"207-73-1363","B","Mandalay","Normal","Male","Health and beauty","69.51",2,"6.95","145.97","2019-03-01","12:15:00","Ewallet","139.02","4.76","6.95","8.1","Afternoon","Friday   ","March    "
"788-07-8452","C","Naypyitaw","Member","Female","Home and lifestyle","24.24",7,"8.48","178.16","2019-01-27","17:38:00","Ewallet","169.68","4.76","8.48","9.4","Evening","Sunday   ","January  "
"334-64-2006","A","Yangon","Member","Female","Home and lifestyle","70.32",2,"7.03","147.67","2019-03-24","14:22:00","Ewallet","140.64","4.76","7.03","9.6","Afternoon","Sunday   ","March    "
"349-97-8902","B","Mandalay","Member","Male","Food and beverages","57.89",2,"5.79","121.57","2019-01-17","10:37:00","Ewallet","115.78","4.76","5.79","8.9","Morning","Thursday ","January  "
"641-96-3695","C","Naypyitaw","Member","Female","Fashion accessories","43.46",6,"13.04","273.80","2019-02-07","17:55:00","Ewallet","260.76","4.76","13.04","8.5","Evening","Thursday ","February "
"816-57-2053","A","Yangon","Normal","Male","Sports and travel","60.87",2,"6.09","127.83","2019-03-09","12:37:00","Ewallet","121.74","4.76","6.09","8.7","Afternoon","Saturday ","March    "
"706-36-6154","A","Yangon","Member","Male","Home and lifestyle","19.36",9,"8.71","182.95","2019-01-18","18:43:00","Ewallet","174.24","4.76","8.71","8.7","Evening","Friday   ","January  "
"648-94-3045","C","Naypyitaw","Normal","Male","Health and beauty","58.95",10,"29.48","618.98","2019-02-07","14:27:00","Ewallet","589.50","4.76","29.48","8.1","Afternoon","Thursday ","February "
"130-67-4723","A","Yangon","Member","Male","Food and beverages","48.50",6,"14.55","305.55","2019-01-11","13:57:00","Ewallet","291.00","4.76","14.55","9.4","Afternoon","Friday   ","January  "
"626-43-7888","C","Naypyitaw","Normal","Female","Fashion accessories","60.41",8,"24.16","507.44","2019-02-07","12:23:00","Ewallet","483.28","4.76","24.16","9.6","Afternoon","Thursday ","February "
"760-27-5490","C","Naypyitaw","Normal","Male","Fashion accessories","15.62",8,"6.25","131.21","2019-01-20","20:37:00","Ewallet","124.96","4.76","6.25","9.1","Evening","Sunday   ","January  "
"728-88-7867","C","Naypyitaw","Member","Female","Home and lifestyle","75.53",4,"15.11","317.23","2019-03-19","15:52:00","Ewallet","302.12","4.76","15.11","8.3","Afternoon","Tuesday  ","March    "
"735-32-9839","C","Naypyitaw","Member","Male","Fashion accessories","98.70",8,"39.48","829.08","2019-01-31","10:36:00","Ewallet","789.60","4.76","39.48","8.5","Morning","Thursday ","January  "
"756-49-0168","A","Yangon","Member","Male","Fashion accessories","19.70",1,"0.99","20.69","2019-02-08","11:39:00","Ewallet","19.70","4.76","0.99","9.5","Morning","Friday   ","February "
"438-23-1242","B","Mandalay","Normal","Male","Electronic accessories","75.88",7,"26.56","557.72","2019-01-24","10:38:00","Ewallet","531.16","4.76","26.56","8.9","Morning","Thursday ","January  "
"137-63-5492","C","Naypyitaw","Normal","Male","Electronic accessories","58.76",10,"29.38","616.98","2019-01-29","14:26:00","Ewallet","587.60","4.76","29.38","9.0","Afternoon","Tuesday  ","January  "
"451-73-2711","C","Naypyitaw","Normal","Male","Food and beverages","84.83",1,"4.24","89.07","2019-01-14","15:20:00","Ewallet","84.83","4.76","4.24","8.8","Afternoon","Monday   ","January  "
"373-14-0504","A","Yangon","Member","Female","Sports and travel","71.63",2,"7.16","150.42","2019-02-12","14:33:00","Ewallet","143.26","4.76","7.16","8.8","Afternoon","Tuesday  ","February "
"546-80-2899","A","Yangon","Member","Male","Home and lifestyle","37.69",2,"3.77","79.15","2019-02-20","15:29:00","Ewallet","75.38","4.76","3.77","9.5","Afternoon","Wednesday","February "
"775-72-1988","B","Mandalay","Normal","Male","Home and lifestyle","73.28",5,"18.32","384.72","2019-01-24","15:05:00","Ewallet","366.40","4.76","18.32","8.4","Afternoon","Thursday ","January  "
"410-67-1709","A","Yangon","Member","Female","Fashion accessories","63.88",8,"25.55","536.59","2019-01-20","17:48:00","Ewallet","511.04","4.76","25.55","9.9","Evening","Sunday   ","January  "
"497-37-6538","A","Yangon","Normal","Male","Sports and travel","58.91",7,"20.62","432.99","2019-01-17","15:15:00","Ewallet","412.37","4.76","20.62","9.7","Afternoon","Thursday ","January  "
"401-09-4232","C","Naypyitaw","Member","Male","Home and lifestyle","86.69",5,"21.67","455.12","2019-02-11","18:38:00","Ewallet","433.45","4.76","21.67","9.4","Evening","Monday   ","February "
"832-51-6761","A","Yangon","Normal","Male","Food and beverages","33.88",8,"13.55","284.59","2019-01-19","20:29:00","Ewallet","271.04","4.76","13.55","9.6","Evening","Saturday ","January  "
"528-14-9470","A","Yangon","Member","Male","Health and beauty","91.30",1,"4.57","95.87","2019-02-14","14:42:00","Ewallet","91.30","4.76","4.57","9.2","Afternoon","Thursday ","February "
"585-90-0249","A","Yangon","Member","Male","Electronic accessories","73.26",1,"3.66","76.92","2019-01-27","18:08:00","Ewallet","73.26","4.76","3.66","9.7","Evening","Sunday   ","January  "
"409-33-9708","A","Yangon","Normal","Female","Fashion accessories","98.48",2,"9.85","206.81","2019-02-19","10:12:00","Ewallet","196.96","4.76","9.85","9.2","Morning","Tuesday  ","February "
"866-70-2814","B","Mandalay","Normal","Female","Electronic accessories","52.79",10,"26.40","554.30","2019-02-25","11:58:00","Ewallet","527.90","4.76","26.40","10.0","Morning","Monday   ","February "
"160-22-2687","A","Yangon","Member","Female","Health and beauty","95.95",5,"23.99","503.74","2019-01-23","14:21:00","Ewallet","479.75","4.76","23.99","8.8","Afternoon","Wednesday","January  "
"852-82-2749","A","Yangon","Normal","Male","Sports and travel","64.59",4,"12.92","271.28","2019-01-06","13:35:00","Ewallet","258.36","4.76","12.92","9.3","Afternoon","Sunday   ","January  "
"584-66-4073","C","Naypyitaw","Normal","Male","Fashion accessories","56.50",1,"2.83","59.33","2019-03-13","15:45:00","Ewallet","56.50","4.76","2.83","9.6","Afternoon","Wednesday","March    "
"761-49-0439","B","Mandalay","Member","Female","Electronic accessories","12.10",8,"4.84","101.64","2019-01-19","10:17:00","Ewallet","96.80","4.76","4.84","8.6","Morning","Saturday ","January  "
"884-80-6021","A","Yangon","Member","Female","Electronic accessories","73.47",10,"36.74","771.44","2019-03-23","13:14:00","Ewallet","734.70","4.76","36.74","9.5","Afternoon","Saturday ","March    "
"750-67-8428","A","Yangon","Member","Female","Health and beauty","74.69",7,"26.14","548.97","2019-01-05","13:08:00","Ewallet","522.83","4.76","26.14","9.1","Afternoon","Saturday ","January  "
"123-19-1176","A","Yangon","Member","Male","Health and beauty","58.22",8,"23.29","489.05","2019-01-27","20:33:00","Ewallet","465.76","4.76","23.29","8.4","Evening","Sunday   ","January  "
"252-56-2699","A","Yangon","Normal","Male","Food and beverages","43.19",10,"21.60","453.50","2019-02-07","16:48:00","Ewallet","431.90","4.76","21.60","8.2","Evening","Thursday ","February "
"151-27-8496","C","Naypyitaw","Normal","Female","Electronic accessories","56.13",4,"11.23","235.75","2019-01-19","11:43:00","Ewallet","224.52","4.76","11.23","8.6","Morning","Saturday ","January  "
"777-67-2495","B","Mandalay","Normal","Male","Home and lifestyle","68.97",3,"10.35","217.26","2019-02-22","11:26:00","Ewallet","206.91","4.76","10.35","8.7","Morning","Friday   ","February "
"226-34-0034","B","Mandalay","Normal","Female","Electronic accessories","13.78",4,"2.76","57.88","2019-01-10","11:10:00","Ewallet","55.12","4.76","2.76","9.0","Morning","Thursday ","January  "
"501-61-1753","B","Mandalay","Normal","Female","Home and lifestyle","63.15",6,"18.95","397.85","2019-01-03","20:24:00","Ewallet","378.90","4.76","18.95","9.8","Evening","Thursday ","January  "
"365-16-4334","B","Mandalay","Normal","Female","Food and beverages","26.43",8,"10.57","222.01","2019-02-24","14:26:00","Ewallet","211.44","4.76","10.57","8.9","Afternoon","Sunday   ","February "
"503-21-4385","B","Mandalay","Member","Male","Health and beauty","39.91",3,"5.99","125.72","2019-02-21","12:40:00","Ewallet","119.73","4.76","5.99","9.3","Afternoon","Thursday ","February "
"574-80-1489","B","Mandalay","Member","Female","Food and beverages","62.85",4,"12.57","263.97","2019-02-25","13:22:00","Ewallet","251.40","4.76","12.57","8.7","Afternoon","Monday   ","February "
"374-38-5555","B","Mandalay","Normal","Female","Fashion accessories","63.71",5,"15.93","334.48","2019-02-07","19:30:00","Ewallet","318.55","4.76","15.93","8.5","Evening","Thursday ","February "
"745-74-0715","A","Yangon","Normal","Male","Electronic accessories","58.03",2,"5.80","121.86","2019-03-10","20:46:00","Ewallet","116.06","4.76","5.80","8.8","Evening","Sunday   ","March    "
